category,filename,tv_symbol,name,listing
sme,NMSTEEL,NSE:NMSTEEL,Newmalayalam Steel Limited,27-Dec-24
sme,IDENTICAL,NSE:IDENTICAL,Identical Brains Studios Limited,26-Dec-24
sme,PURPLEUTED,NSE:PURPLEUTED,Purple United Sales Limited,18-Dec-24
sme,SFML,NSE:SFML,Supreme Facility Management Limited,18-Dec-24
sme,DHANLAXMI,NSE:DHANLAXMI,Dhanlaxmi Crop Science Limited,16-Dec-24
sme,ETML,NSE:ETML,Emerald Tyre Manufacturers Limited,12-Dec-24
sme,GANESHIN,NSE:GANESHIN,Ganesh Infraworld Limited,06-Dec-24
sme,AGARWALTUF,NSE:AGARWALTUF,Agarwal Toughened Glass India Limited,05-Dec-24
sme,ABHAPOWER,NSE:ABHAPOWER,Abha Power and Steel Limited,04-Dec-24
sme,APEXECO,NSE:APEXECO,Apex Ecotech Limited,04-Dec-24
sme,C2C,NSE:C2C,C2C Advanced Systems Limited,03-Dec-24
sme,RAJPUTANA,NSE:RAJPUTANA,Rajputana Biodiesel Limited,03-Dec-24
sme,ITTL,NSE:ITTL,Innovative Tyres & Tubes Limited,02-Dec-24
sme,LAMOSAIC,NSE:LAMOSAIC,Lamosaic India Limited,29-Nov-24
sme,ONYX,NSE:ONYX,Onyx Biotec Limited,22-Nov-24
sme,NEELAM,NSE:NEELAM,Neelam Linens and Garments (India) Limited,18-Nov-24
sme,USHAFIN,NSE:USHAFIN,Usha Financial Services Limited,31-Oct-24
sme,DANISH,NSE:DANISH,Danish Power Limited,29-Oct-24
sme,UHTL,NSE:UHTL,United Heat Transfer Limited,29-Oct-24
sme,OBSCP,NSE:OBSCP,OBSC Perfection Limited,29-Oct-24
sme,PREMIUM,NSE:PREMIUM,Premium Plast Limited,28-Oct-24
sme,FRESHARA,NSE:FRESHARA,Freshara Agro Exports Limited,24-Oct-24
sme,LAKSHYA,NSE:LAKSHYA,Lakshya Powertech Limited,23-Oct-24
sme,PRANIK,NSE:PRANIK,Pranik Logistics Limited,17-Oct-24
sme,PARAMOUNT,NSE:PARAMOUNT,Paramount Dye Tec Limited,08-Oct-24
sme,HVAX,NSE:HVAX,HVAX Technologies Limited,07-Oct-24
sme,SAJHOTELS,NSE:SAJHOTELS,Saj Hotels Limited,07-Oct-24
sme,DIVYADHAN,NSE:DIVYADHAN,Divyadhan Recycling Industries Limited,04-Oct-24
sme,SAHASRA,NSE:SAHASRA,Sahasra Electronic Solutions Limited,04-Oct-24
sme,FORGEAUTO,NSE:FORGEAUTO,Forge Auto International Limited,04-Oct-24
sme,THESL,NSE:THESL,Thinking Hats Entertainment Solutions Limited,03-Oct-24
sme,TECHERA,NSE:TECHERA,TechEra Engineering (India) Limited,03-Oct-24
sme,UNILEX,NSE:UNILEX,Unilex Colours and Chemicals Limited,03-Oct-24
sme,WOL3D,NSE:WOL3D,Wol 3D India Limited,30-Sep-24
sme,RAPPID,NSE:RAPPID,Rappid Valves (India) Limited,30-Sep-24
sme,SDREAMS,NSE:SDREAMS,S D Retail Limited,27-Sep-24
sme,AVIANSH,NSE:AVIANSH,Avi Ansh Textile Limited,27-Sep-24
sme,BIKEWO,NSE:BIKEWO,Bikewo Green Tech Limited,27-Sep-24
sme,PHOGLOBAL,NSE:PHOGLOBAL,Phoenix Overseas Limited,27-Sep-24
sme,KALANA,NSE:KALANA,Kalana Ispat Limited,26-Sep-24
sme,PSFL,NSE:PSFL,Paramount Speciality Forgings Limited,25-Sep-24
sme,PELATRO,NSE:PELATRO,Pelatro Limited,24-Sep-24
